"","Allolobophora_chlorotica","Anodonta_anatina","Aploneura_lentisci","Asellus_aquaticus","Bothrioneurum_vejdovskyanum","Brachionus_angularis","Brachionus_calyciflorus","Caenis_horaria","Chaetogaster_diastrophus","Chaetonotus_sp._bor_MK-2018","Chaetonotus_sp._g_MK-2018","Chironomidae","Chironomidae_sp._PA2_1","Chironomus","Chironomus_pseudothummi","Chironomus_riparius","Chydoridae","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus","Cricotopus_laricomalis","Culicoides_kibunensis","Cyclopidae","Cyclopoida","Cyclops_abyssorum","Cypridopsis_vidua","Daphnia","Daphniidae","Decapoda","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Euchlanis_dilatata","Eucyclops","Eucyclops_cf._serrulatus_ZISP_11SNM-532","Eucyclops_macrurus","Eucyclops_serrulatus","Eudiaptomus_gracilis","Eurytemora_affinis","Gammarus_zaddachi","Hydra_circumcincta","Hydra_oligactis","Hydra_oxycnida","Hymenoptera","Isopoda","Keratella_cochlearis","Keratella_quadrata","Limnocythere_inopinata","Limnodrilus_hoffmeisteri","Liposcelis","Naididae","Nais_elinguis","Oxyethira_flavicornis","Physella_acuta","Platynothrus_peltifer","Plectus_aquatilis","Podocopida","Podura_aquatica","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Polyphemus_pediculus","Potamopyrgus_antipodarum","Potamothrix_bavaricus","Potamothrix_moldaviensis","Radix_balthica","Sida_crystallina","Spongillida","Stempellinella_edwardsi","Stenostomum_sthenum","Synchaeta","Synchaeta_pectinata","Tanytarsus","Tanytarsus_lestagei","Tanytarsus_medius","Tanytarsus_occultus","Tubifex_tubifex","Xenylla","time","sample_id","site","sample_type","predator_id"
"GW101.pl2.2.6.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW101","GW","gut","Dikerogammarus_villosus"
"GW102.pl2.2.7.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW102","GW","gut","Dikerogammarus_villosus"
"GW103.pl2.2.8.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW103","GW","gut","Dikerogammarus_villosus"
"GW104.pl2.3.1.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW104","GW","gut","Dikerogammarus_villosus"
"GW105.pl2.3.2.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW105","GW","gut","Dikerogammarus_villosus"
"GW106.pl2.3.3.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW106","GW","gut","Dikerogammarus_villosus"
"GW107.pl2.3.4.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW107","GW","gut","Dikerogammarus_villosus"
"GW108.pl2.3.5.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5051,0,"Oct","GW108","GW","gut","Dikerogammarus_villosus"
"GW109.pl2.3.6.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW109","GW","gut","Dikerogammarus_villosus"
"GW110.pl2.3.7.nc.blast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct","GW110","GW","gut","Dikerogammarus_villosus"
